Date,Code,Name,EntryPrice,ExitPrice,PnL(%),VolBurstRatio,EntryATR,UpperTailRatio,Macro(%),HoldTime(s),MaxPnL(%),ExitReason
2026-04-02 09:00:39,001510,SK증권,2150,2125,-1.16,3.61,13.21,0,6.11,64273,0.47,손절(SL)
2026-04-02 10:37:23,024060,흥구석유,22700,21400,-5.73,2.85,840.71,0,-3.06,203,0.0,손절(SL)
2026-04-02 10:47:18,038110,에코플라스틱,3995,4055,1.5,4.3,101.07,0,-2.84,312,1.5,반익절(TP)
2026-04-02 10:47:59,038110,에코플라스틱,3995,4035,1.0,4.3,101.07,0,-2.84,355,1.63,무한트레일링
2026-04-03 09:18:07,322000,HD현대에너지솔루션,157600,160400,1.78,4.62,1957.14,0,1.58,161,1.78,전량익절(목표가)
2026-04-03 09:21:29,047040,대우건설,17670,17390,-1.58,18.79,183.57,0,2.33,1068,0,손절(SL)
2026-04-03 09:22:16,011930,신성이엔지,3195,3100,-2.97,2.03,60.0,0,1.49,246,0,손절(SL)
2026-04-03 09:27:26,024060,흥구석유,22550,21650,-3.99,2.43,582.14,0,0.8,176,0,손절(SL)
2026-04-03 09:42:00,093370,후성,8030,8160,1.62,3.56,196.43,0,1.31,509,1.62,전량익절(목표가)
2026-04-03 09:44:32,001250,GS글로벌,2930,2855,-2.56,7.66,49.64,0,0.71,112,0,손절(SL)
2026-04-03 09:45:27,475150,SK이터닉스,62300,63300,1.61,3.09,1053.57,0,-1.02,261707,1.61,전량익절(목표가)
2026-04-03 09:47:03,038110,에코플라스틱,4135,4015,-2.9,3.24,77.14,0,0.71,264,0,손절(SL)
2026-04-03 09:50:18,475150,SK이터닉스,63400,61800,-2.52,2.12,1057.14,0,0.99,132,0,손절(SL)
2026-04-03 09:54:15,382150,온코크로스,8510,8140,-4.35,42.05,217.14,0,1.23,152,0,손절(SL)
2026-04-03 10:00:34,001510,SK증권,2060,2020,-1.94,2.56,22.71,0,1.23,530,0,손절(SL)
2026-04-03 10:16:27,028050,삼성E&A,41200,41850,1.58,2.51,525.0,0,1.47,574,1.58,전량익절(목표가)
2026-04-03 10:21:06,018000,유니슨,1730,1690,-2.31,4.54,26.21,0,1.32,152,0,손절(SL)
2026-04-03 10:34:02,375500,DL이앤씨,79600,78100,-1.88,2.38,978.57,0,1.32,930,0,손절(SL)
2026-04-03 10:38:00,011930,신성이엔지,3510,3575,1.85,7.36,60.36,0,1.35,1001,1.85,전량익절(목표가)
2026-04-03 10:43:36,079550,LIG넥스원,799000,812000,1.63,2.13,5642.86,0,1.5,959,1.63,전량익절(목표가)
2026-04-03 10:46:03,065450,빅텍,6300,6400,1.59,2.15,101.43,0,1.21,401,1.59,전량익절(목표가)
2026-04-03 10:53:10,044490,태웅,51000,50100,-1.76,2.91,600.0,0,1.5,1534,0,손절(SL)
2026-04-03 11:06:45,033790,피노,10300,10200,-0.97,5.67,146.43,0,0.53,169,0,손절(SL)
2026-04-03 11:07:37,417200,LS머트리얼즈,21200,20800,-1.89,6.78,255.0,0,1.53,2613,0,손절(SL)
2026-04-03 11:11:50,092790,넥스틸,13930,13720,-1.51,2.71,135.71,0,1.32,3195,0,손절(SL)
2026-04-03 11:22:42,196170,알테오젠,379500,376000,-0.92,5.61,2857.14,0,0.63,418,0,손절(SL)
2026-04-03 11:27:52,322000,HD현대에너지솔루션,189100,187200,-1.0,5.59,2092.86,0,0.63,730,0,손절(SL)
2026-04-03 11:30:16,010140,삼성중공업,28150,27900,-0.89,3.89,201.79,0,0.54,1036,0,손절(SL)
2026-04-03 13:19:37,214390,경보제약,7640,7570,-0.92,3.36,190.71,0,0.71,59,0,손절(SL)
